brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
SAMSUNG,26715,4.4,8.0,256.0,1024.0,50.0,5000.0
KECHAODA,974,4.1,,,0.0,3.0,850.0
ONEPLUS,35278,4.5,12.0,256.0,0.0,50.0,6800.0
REDMI,14900,4.3,6.0,128.0,0.0,50.0,7000.0
VIVO,31999,4.5,12.0,256.0,0.0,50.0,6500.0
AI+,8999,4.1,6.0,128.0,1024.0,50.0,5000.0
IQOO,22845,4.4,8.0,256.0,0.0,50.0,5700.0
REDMI,16374,4.3,8.0,256.0,0.0,50.0,7000.0
REALME,20499,4.3,8.0,256.0,2048.0,50.0,7000.0
SAMSUNG,11099,4.0,6.0,128.0,0.0,50.0,5000.0
ONEPLUS,33749,4.5,8.0,256.0,0.0,50.0,6800.0
LAVA,7099,4.0,4.0,64.0,0.0,50.0,5000.0
REDMI,14388,4.3,6.0,128.0,0.0,50.0,7000.0
GOOGLE,34999,4.3,8.0,128.0,0.0,64.0,4404.0
IQOO,19999,4.4,8.0,128.0,0.0,50.0,5700.0
AI+,6999,4.0,6.0,128.0,1024.0,50.0,5000.0
POCO,21999,4.3,12.0,256.0,0.0,50.0,5000.0
IQOO,23830,4.3,12.0,256.0,0.0,50.0,5700.0
ONEPLUS,32400,4.5,8.0,256.0,0.0,50.0,6800.0
ONEPLUS,35423,4.5,12.0,256.0,0.0,50.0,6800.0
ONEPLUS,23229,4.4,8.0,256.0,0.0,50.0,5500.0
IQOO,14990,4.3,8.0,256.0,0.0,50.0,6000.0
ITEL,1465,4.1,,,0.0,8.0,2500.0
IQOO,23788,4.3,12.0,256.0,0.0,50.0,5700.0
REALME,16999,4.4,8.0,128.0,2048.0,50.0,6000.0
ONEPLUS,19775,4.4,8.0,128.0,0.0,50.0,5500.0
LAVA,969,4.2,,,0.0,0.0,1000.0
KECHAODA,989,4.1,,,0.0,3.0,850.0
IQOO,12990,4.3,6.0,128.0,0.0,50.0,6000.0
IQOO,11990,4.2,4.0,128.0,0.0,50.0,6000.0
SAMSUNG,9227,4.1,4.0,64.0,1024.0,50.0,5000.0
ITEL,1099,4.1,,,0.0,3.0,1200.0
REALME,14476,4.4,8.0,128.0,2048.0,50.0,6000.0
SAMSUNG,9480,4.1,4.0,64.0,1024.0,50.0,5000.0
ONEPLUS,35189,4.5,12.0,256.0,0.0,50.0,6800.0
REDMI,15380,4.3,8.0,128.0,0.0,50.0,7000.0
NOKIA,4793,4.1,46875.0,,0.0,3.0,1450.0
IQOO,20815,4.4,8.0,128.0,0.0,50.0,5700.0
SAMSUNG,15999,4.3,6.0,128.0,2048.0,50.0,5000.0
REALME,15999,4.4,6.0,128.0,2048.0,50.0,6000.0
ONEPLUS,24997,4.5,8.0,128.0,0.0,50.0,7100.0
JIO,759,3.8,,,0.0,3.0,1000.0
LAVA,959,4.0,,,0.0,0.0,1000.0
IQOO,35272,4.5,8.0,128.0,0.0,50.0,7000.0
POCO,13999,4.3,8.0,128.0,2048.0,50.0,7000.0
INFINIX,13999,4.3,8.0,128.0,0.0,50.0,5500.0
