Name,Price,RAM/ROM,Camera,Battery,Processor
"REDMI Note 14 SE 5G (Titan Black, 128 GB)","13,499",6 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","11,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 5MP Front Camera,6000 mAh Battery,Dimensity 6300 5G Processor
"Motorola g45 5G (Brilliant Blue, 128 GB)","11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"POCO M7 Plus 5G (Carbon Black, 128 GB)","12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP AI Dual Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor
"REDMI Note 14 SE 5G (Mystique White, 128 GB)","13,499",6 GB RAM | 128 GB ROM,50MP + 8MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","13,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Tecno Pova 7 5G (Oasis Green, 128 GB)","14,249",8 GB RAM | 128 GB ROM,50MP + AI | 13MP Front Camera,6000 mAh Battery,Dimensity 7300 Ultimate Processor
"IQOO Z10X 5G (Ultramarine, 128 GB)","14,689",6 GB RAM | 128 GB ROM,50MP Rear Camera,6500 mAh Battery,1 Year on Handset and 6 Months on Accessories
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","10,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","11,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Samsung Galaxy M16 5G (Blush Pink, 128 GB)","13,318",6 GB RAM | 128 GB ROM,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Motorola G60 (Dynamic Gray, 128 GB)","14,999",6 GB RAM | 128 GB ROM,108MP + 8MP + 2MP | 32MP Front Camera,6000 mAh Battery,Qualcomm Snapdragon 732G Processor
"realme P3x 5G (Lunar Silver, 128 GB)","12,999",8 GB RAM | 128 GB ROM,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"POCO M7 Pro 5G (Lunar Dust, 256 GB)","14,499",8 GB RAM | 256 GB ROM,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,Dimensity 7025 Ultra Processor
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","10,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme P3 Lite 5G Charger in the Box (Lily White, 128 GB)","11,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP AI Dual Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor
"realme 14x 5G (Jewel Red, 128 GB)","14,688",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","11,990",4 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,1 Year Warranty
"REDMI 13 5G (Black Diamond, 128 GB)","12,838",8 GB RAM | 128 GB ROM,108MP Rear Camera,5030 mAh Battery,Brand Warranty
"Samsung Galaxy M16 5G (Blush Pink, 128 GB)","13,468",4 GB RAM | 128 GB ROM,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme Narzo 80x 5G (Sunlit Gold, 128 GB)","12,394",6 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme P3x 5G (Stellar Pink, 128 GB)","12,999",8 GB RAM | 128 GB ROM,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6400 Processor
"realme C85 5G (Peacock Green, 128.0 GB)","15,499",4 GB RAM | 128.0 GB ROM,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,Dimensity 6300 Processor
"REDMI 13 5G (Black Diamond, 128 GB)","12,999",6 GB RAM | 128 GB ROM,108MP Rear Camera,5030 mAh Battery,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor
"REDMI 13 5G (Hawaiian Blue, 128 GB)","12,815",8 GB RAM | 128 GB ROM,108MP Rear Camera,5030 mAh Battery,Brand Warranty
"POCO M6 Plus 5G (Ice Silver, 128 GB)","13,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor
"realme 14x 5G (Crystal Black, 128 GB)","13,696",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","13,999",6 GB RAM | 128 GB ROM,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Sea Breeze Green, 128 GB)","12,499",6 GB RAM | 128 GB ROM,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery,Dimensity 7300 Ultimate Processor
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","12,499",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"REDMI 13 5G (Orchid Pink, 128 GB)","12,829",6 GB RAM | 128 GB ROM,108MP Rear Camera,5030 mAh Battery,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor
"Motorola g45 5G (Pink Lavender, 128 GB)","11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","12,990",6 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,1 Year Warranty
"realme 14x 5G (Golden Glow, 128 GB)","13,327",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)","13,999",8 GB RAM | 128 GB ROM,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery,Dimensity 7300 Ultimate Processor
"REDMI 13 5G (Orchid Pink, 128 GB)","12,920",8 GB RAM | 128 GB ROM,108MP Rear Camera,5030 mAh Battery,Qualcomm SM4450 Snapdragon 4 Gen 2 AE (4 nm) Processor
"POCO M7 Plus 5G (Aqua Blue, 128 GB)","13,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP AI Dual Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Enchanted Purple, 128 GB)","12,499",6 GB RAM | 128 GB ROM,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery,Dimensity 7300 Ultimate Processor
"Motorola g45 5G (Viva Magenta, 128 GB)","11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","12,987",6 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,1 Year Warranty
"Motorola g45 5G (Brilliant Blue, 128 GB)","10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"REDMI 15 5G (Midnight Black, 128 GB)","14,900",6 GB RAM | 128 GB ROM,50MP Rear Camera,7000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","13,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor
"realme Narzo 80x 5G (Deep Ocean, 128 GB)","13,490",8 GB RAM | 128 GB ROM,50MP Rear Camera,6000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","11,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Motorola g45 5G (Viva Magenta, 128 GB)","10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"realme C85 5G (Parrot Purple, 128.0 GB)","15,499",4 GB RAM | 128.0 GB ROM,50MP Rear Camera | 8MP Front Camera,7000 mAh Battery,Dimensity 6300 Processor
"REDMI 15 5G (Sandy Purple, 128 GB)","14,388",6 GB RAM | 128 GB ROM,50MP Rear Camera,7000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"REDMI 12 (Pastel Blue, 128 GB)","10,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","13,999",6 GB RAM | 128 GB ROM,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"vivo Y28s 5G (Twinkling Purple, 128 GB)","12,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 0.08MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"Tecno Pova 7 5G (Magic Silver, 128 GB)","14,249",8 GB RAM | 128 GB ROM,50MP + AI | 13MP Front Camera,6000 mAh Battery,Dimensity 7300 Ultimate Processor
"REDMI 13 5G Prime Edition (Hawaiian Blue, 128 GB)","12,877",8 GB RAM | 128 GB ROM,13MP Rear Camera,5030 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"realme P1 5G (Phoenix Red, 128 GB)","13,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor
"OPPO A5x 5G (Midnight Blue, 128 GB)","12,499",4 GB RAM | 128 GB ROM,32MP Rear Camera,6000 mAh Battery,Dimensity 6300 Processor
"realme 14x 5G (Jewel Red, 128 GB)","14,380",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"POCO M7 Plus 5G (Carbon Black, 128 GB)","13,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP AI Dual Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor
"realme P1 5G (Peacock Green, 128 GB)","14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor
"REDMI 13 5G (Orchid Pink, 128 GB)","12,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Lithium Polymer Battery,4 Gen 2 AE Processor
"POCO M7 Plus 5G (Carbon Black, 128 GB)","11,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor
"realme 14x 5G (Crystal Black, 128 GB)","14,476",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)","12,499",4 GB RAM | 128 GB ROM,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"Motorola g64 5G (Mint Green, 128 GB)","13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7025 Processor
"realme 14x 5G (Golden Glow, 128 GB)","14,363",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"REDMI 13 5G (Hawaiian Blue, 128 GB)","13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Lithium Polymer Battery,4 Gen 2 AE Processor
"REDMI Note 13 5G (Arctic White, 128 GB)","14,499",6 GB RAM | 128 GB ROM,108MP Rear Camera,5000 mAh Battery,1 Year Brand Warranty
"Motorola g64 5G (Ice Lilac, 128 GB)","13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7025 Processor
"Tecno Spark Go 5G (Turquoise Green, 128 GB)","10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,6000 mAh Battery,Dimensity 6400 5G Processor
"REDMI 15 5G (Frosted White, 128 GB)","15,380",8 GB RAM | 128 GB ROM,50MP Rear Camera,7000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"vivo Y31 5G (Rose Red, 128 GB)","14,999",4 GB RAM | 128 GB ROM,50MP + 0.08MP | 8MP Front Camera,6500 mAh Battery,4 Gen 2 Processor
"REDMI 15 5G (Frosted White, 128 GB)","14,273",6 GB RAM | 128 GB ROM,50MP Rear Camera,7000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"REDMI 12 (Moonstone Silver, 128 GB)","10,947",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
"Tecno Pova 6 Neo 5G (Azure Sky, 128 GB)","11,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 5G Processor
"REDMI 12 (Jade Black, 128 GB)","9,990",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
"Samsung Galaxy M17 5G (Moonlight Silver, 128 GB)","13,310",4 GB RAM | 128 GB ROM,50MP Rear Camera,5000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Samsung Galaxy M16 5G (Mint Green, 128 GB)","14,698",6 GB RAM | 128 GB ROM,50MP Rear Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","12,499",4 GB RAM | 128 GB ROM,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,Dimensity 6300 Processor
"Infinix Note 50x 5G+ 45W Charger In the Box & AI (Sea Breeze Green, 128 GB)","13,999",8 GB RAM | 128 GB ROM,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery,Dimensity 7300 Ultimate Processor
"realme Narzo N65 5G (Ambr Gold, 128 GB)","12,789",6 GB RAM | 128 GB ROM,50MP Rear Camera,5000 mAh Battery,1 Year
"Tecno Pova 6 Neo 5G (Azure Sky, 256 GB)","13,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Dimensity 6300 5G Processor
"realme 12x 5G (Woodland Green, 128 GB)","12,499",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
"realme C73 5G (Onyx Black, 64 GB)","10,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,32MP Rear Camera | 8MP Front Camera,6000 mAh Battery,Dimensity 6300 Processor
"POCO M6 Plus 5G (Graphite Black, 128 GB)","13,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,108MP + 2MP | 13MP Front Camera,5030 mAh Battery,Snapdragon 4 Gen2 AE Processor
"Google Pixel 10 Pro (Moonstone, 256 GB)","1,09,999",16 GB RAM | 256 GB ROM,48MP + 48MP + 48MP | 42MP Front Camera,4870 mAh Battery,Tensor G5 Processor
"Google Pixel 10 Pro (Obsidian, 256 GB)","1,09,999",16 GB RAM | 256 GB ROM,48MP + 48MP + 48MP | 42MP Front Camera,4870 mAh Battery,Tensor G5 Processor
"REDMI 14C 5G (Stargaze Black, 128 GB)","10,659",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"OPPO A3x 5G (Starry Purple, 64 GB)","11,990",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,8MP Rear Camera | 5MP Front Camera,5100 mAh Battery,Dimensity 6300 Processor
"OPPO A3 5G (Nebula Red, 128 GB)","14,180",6 GB RAM | 128 GB ROM,50MP Rear Camera,5100 mAh Battery,Dimensity 6300 Processor
"Samsung Galaxy M17 5G (Moonlight Silver, 128 GB)","13,310",4 GB RAM | 128 GB ROM,50MP Rear Camera,5000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Google Pixel 10 Pro (Porcelain, 256 GB)","1,09,999",16 GB RAM | 256 GB ROM,48MP + 48MP + 48MP | 42MP Front Camera,4870 mAh Battery,Tensor G5 Processor
"OPPO A5x 5G (Laser White, 128 GB)","12,499",4 GB RAM | 128 GB ROM,32MP Rear Camera,6000 mAh Battery,Dimensity 6300 Processor
"REDMI 14C 5G (Stardust Purple, 128 GB)","10,197",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"REDMI 14C 5G (Starlight Blue, 128 GB)","10,488",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery,4 Gen 2 5G Processor
"vivo Y31 5G (Rose Red, 128 GB)","14,999",4 GB RAM | 128 GB ROM,50MP + 0.08MP | 8MP Front Camera,6500 mAh Battery,4 Gen 2 Processor
"vivo Y19 5G (Majestic Green, 64 GB)","10,499",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13MP + 0.08MP | 5MP Front Camera,5500 mAh Battery,Dimensity 6300 Processor
"vivo Y19 5G (Titanium Silver, 64 GB)","10,499",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,13MP + 0.08MP | 5MP Front Camera,5500 mAh Battery,Dimensity 6300 Processor
"Samsung A16 5G (Blue Black, 128 GB)","14,470",6 GB RAM | 128 GB ROM,13MP + 50MP | 13MP + 13MP Dual Front Camera,5000 mAh Battery,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) or Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) Processor
"Motorola g45 5G (Brilliant Green, 128 GB)","11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor
